stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\justi\Documents\NTHUCS_code\mini2\TowerDefense\bin\Debug\allegro5.cfg r
dtor     D               dtor.c:196  _al_register_destructor          [   0.06674] added dtor for sample_instance 0000000002BDCFA0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06676] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06677] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06679] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06681] added dtor for sample_instance 0000000002BDC910, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06683] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06685] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06687] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06689] added dtor for sample_instance 0000000002BDCBB0, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06691] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06692] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06694] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06696] added dtor for sample_instance 0000000002BDCA60, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06698] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06700] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06701] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06703] added dtor for sample_instance 0000000002BDC520, func 0000000061BE32C3
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.06705] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06707] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.06709] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.06711] added dtor for sample_instance 0000000002BDDB70, func 0000000061BE32C3
